rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
26,0,"The Long Good Friday",1980,http://www.icheckmovies.com/movies/the+long+good+friday/,3117,244,16,11,259,,http://www.imdb.com/title/tt0081070/,"2012-04-22 04:38:34",no,no,no,no
27,0,"Flesh for Frankenstein",1973,http://www.icheckmovies.com/movies/flesh+for+frankenstein/,1114,43,39,2,134,"Andy Warhol's Frankenstein",http://www.imdb.com/title/tt0071508/,no,no,no,no,no
28,0,"Sangue per Dracula",1974,http://www.icheckmovies.com/movies/sangue+per+dracula/,964,38,30,2,127,"Blood for Dracula",http://www.imdb.com/title/tt0071233/,no,no,no,no,no
29,0,"Picnic at Hanging Rock",1975,http://www.icheckmovies.com/movies/picnic+at+hanging+rock/,6608,666,63,14,517,,http://www.imdb.com/title/tt0073540/,"2020-03-26 13:39:50",no,no,no,no
30,0,"M - Eine Stadt sucht einen Mörder",1931,http://www.icheckmovies.com/movies/m+-+eine+stadt+sucht+einen+morder/,19983,2729,83,34,1113,M,http://www.imdb.com/title/tt0022100/,"2010-01-30 15:23:27",no,no,no,no
31,0,"Great Expectations",1946,http://www.icheckmovies.com/movies/great+expectations/,7526,325,49,18,405,,http://www.imdb.com/title/tt0038574/,"2010-01-30 15:23:27",no,no,no,no
32,0,"Oliver Twist",1948,http://www.icheckmovies.com/movies/oliver+twist/,4375,117,11,6,205,,http://www.imdb.com/title/tt0040662/,no,no,no,no,no
33,0,"Nanook of the North",1922,http://www.icheckmovies.com/movies/nanook+of+the+north/,5428,238,29,17,375,,http://www.imdb.com/title/tt0013427/,"2010-01-30 15:23:27",no,no,no,no
34,0,"Andrey Rublev",1966,http://www.icheckmovies.com/movies/andrey+rublev/,6487,952,90,29,731,"Andrei Rublev",http://www.imdb.com/title/tt0060107/,"2010-06-13 01:44:51",no,no,no,no
35,0,"Les diaboliques",1955,http://www.icheckmovies.com/movies/les+diaboliques/,9221,1160,47,19,709,Diabolique,http://www.imdb.com/title/tt0046911/,"2010-01-30 15:23:27",no,no,no,no
36,0,"Le salaire de la peur",1953,http://www.icheckmovies.com/movies/le+salaire+de+la+peur/,7452,1227,50,25,724,"The Wages of Fear",http://www.imdb.com/title/tt0046268/,"2010-01-30 15:23:27",no,no,no,no
37,0,"Time Bandits",1981,http://www.icheckmovies.com/movies/time+bandits/,8940,408,95,4,289,,http://www.imdb.com/title/tt0081633/,"2010-01-30 15:23:28",no,no,no,no
38,0,"Koroshi no rakuin",1967,http://www.icheckmovies.com/movies/koroshi+no+rakuin/,2172,196,20,9,255,"Branded to Kill",http://www.imdb.com/title/tt0061882/,"2011-05-14 01:28:17",no,no,no,no
39,0,"Tôkyô nagaremono",1966,http://www.icheckmovies.com/movies/tokyo+nagaremono/,2064,147,19,5,188,"Tokyo Drifter",http://www.imdb.com/title/tt0061101/,"2011-07-22 03:39:35",no,no,no,no
40,0,Armageddon,1998,http://www.icheckmovies.com/movies/armageddon/,56223,1198,1021,4,260,,http://www.imdb.com/title/tt0120591/,"2010-01-30 15:23:26",no,no,no,no
41,0,"The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France",1944,http://www.icheckmovies.com/movies/the+chronicle+history+of+king+henry+the+fifth+with+his+battell+fought+at+agincourt+in+france/,1438,52,35,12,277,"Henry V",http://www.imdb.com/title/tt0036910/,no,no,no,no,no
42,0,"Fishing with John",1991,http://www.icheckmovies.com/movies/fishing+with+john/,806,74,4,1,43,,http://www.imdb.com/title/tt0139776/,no,no,no,no,no
43,0,"Lord of the Flies",1963,http://www.icheckmovies.com/movies/lord+of+the+flies/,6452,172,47,1,146,,http://www.imdb.com/title/tt0057261/,"2011-11-18 05:31:14",no,no,no,no
44,0,"The Red Shoes",1948,http://www.icheckmovies.com/movies/the+red+shoes/,8623,1130,57,25,746,,http://www.imdb.com/title/tt0040725/,"2010-08-21 13:56:05",no,no,no,no
45,0,"Ta'm e guilass",1997,http://www.icheckmovies.com/movies/tam+e+guilass/,3476,431,41,16,390,"Taste of Cherry",http://www.imdb.com/title/tt0120265/,no,no,no,no,no
46,0,"The Most Dangerous Game",1932,http://www.icheckmovies.com/movies/the+most+dangerous+game/,2380,105,18,4,217,,http://www.imdb.com/title/tt0023238/,no,no,no,no,no
47,0,Insomnia,1997,http://www.icheckmovies.com/movies/insomnia/,5175,166,22,2,147,,http://www.imdb.com/title/tt0119375/,"2020-10-30 01:01:35",no,no,no,no
48,0,"Orfeu Negro",1959,http://www.icheckmovies.com/movies/orfeu+negro/,2906,201,24,9,275,"Black Orpheus",http://www.imdb.com/title/tt0053146/,no,no,no,no,no
49,0,"Le notti di Cabiria",1957,http://www.icheckmovies.com/movies/le+notti+di+cabiria/,6206,878,47,18,512,"Nights of Cabiria",http://www.imdb.com/title/tt0050783/,"2010-01-30 15:23:27",no,no,no,no
