rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
48,,Willard,1971,http://www.icheckmovies.com/movies/willard-1971/,601,11,4,2,80,,http://www.imdb.com/title/tt0067991/,"2015-04-06 02:29:31",no,no,no,no
49,,"Night of the Lepus",1972,http://www.icheckmovies.com/movies/night+of+the+lepus/,556,7,39,1,97,,http://www.imdb.com/title/tt0069005/,"2015-04-06 04:13:37",no,no,no,no
50,,"Dark Passage",1947,http://www.icheckmovies.com/movies/dark+passage/,2207,152,10,4,174,,http://www.imdb.com/title/tt0039302/,"2011-10-05 01:28:26",no,no,no,no
51,,"The Last Boy Scout",1991,http://www.icheckmovies.com/movies/the+last+boy+scout/,5373,229,65,2,102,,http://www.imdb.com/title/tt0102266/,"2013-03-17 15:48:23",no,no,no,no
52,,"Indiana Jones and the Temple of Doom",1984,http://www.icheckmovies.com/movies/indiana+jones+and+the+temple+of+doom/,63028,2244,344,11,521,,http://www.imdb.com/title/tt0087469/,"2010-01-30 15:23:27",no,no,no,no
53,,"Year of the Dragon",1985,http://www.icheckmovies.com/movies/year+of+the+dragon/,1088,47,27,4,92,,http://www.imdb.com/title/tt0090350/,"2017-08-05 14:41:07",no,no,no,no
54,,Scarface,1983,http://www.icheckmovies.com/movies/scarface/,64571,4524,437,19,811,,http://www.imdb.com/title/tt0086250/,"2010-01-30 15:23:27",no,no,no,no
55,,Topkapi,1964,http://www.icheckmovies.com/movies/topkapi/,986,36,12,2,98,,http://www.imdb.com/title/tt0058672/,"2019-03-08 20:53:19",no,no,no,no
56,,"The Thomas Crown Affair",1968,http://www.icheckmovies.com/movies/the+thomas+crown+affair/,2947,85,18,3,145,"The Crown Caper",http://www.imdb.com/title/tt0063688/,"2011-05-31 04:13:14",no,no,no,no
57,,"Once Upon a Time in America",1984,http://www.icheckmovies.com/movies/once+upon+a+time+in+america/,26628,2331,136,18,725,,http://www.imdb.com/title/tt0087843/,"2010-01-30 15:23:27",no,no,no,no
58,,"Bud Abbott Lou Costello Meet Frankenstein",1948,http://www.icheckmovies.com/movies/bud+abbott+lou+costello+meet+frankenstein/,2915,144,22,6,208,"Abbott and Costello Meet Frankenstein",http://www.imdb.com/title/tt0040068/,"2012-01-14 20:23:41",no,no,no,no
59,,"Abbott and Costello Meet the Mummy",1955,http://www.icheckmovies.com/movies/abbott+and+costello+meet+the+mummy/,790,21,11,1,62,,http://www.imdb.com/title/tt0047795/,"2012-01-14 20:23:55",no,no,no,no
60,,"Hi, Mom!",1970,http://www.icheckmovies.com/movies/hi+momexclamation/,560,20,11,1,51,,http://www.imdb.com/title/tt0065836/,no,no,no,no,no
61,,"Back Street",1961,http://www.icheckmovies.com/movies/back+street-1961-1/,143,2,5,1,28,,http://www.imdb.com/title/tt0054653/,no,no,no,no,no
62,,"Maniac Cop 2",1990,http://www.icheckmovies.com/movies/maniac+cop+2/,640,14,6,1,73,,http://www.imdb.com/title/tt0100107/,"2012-08-12 14:25:54",no,no,no,no
63,,Intruder,1989,http://www.icheckmovies.com/movies/intruder/,634,17,14,2,88,,http://www.imdb.com/title/tt0095379/,"2013-06-30 20:34:51",no,no,no,no
64,,"The Vigilante: Fighting Hero of the West",1947,http://www.icheckmovies.com/movies/the+vigilante+fighting+hero+of+the+west/,64,1,1,1,23,,http://www.imdb.com/title/tt0039957/,no,no,no,no,no
65,,Perfect,1985,http://www.icheckmovies.com/movies/perfect/,319,5,22,1,45,,http://www.imdb.com/title/tt0089798/,no,no,no,no,no
66,,"Mad Love",1935,http://www.icheckmovies.com/movies/mad+love/,969,61,3,2,173,,http://www.imdb.com/title/tt0026663/,no,no,no,no,no
67,,"The Trip",1967,http://www.icheckmovies.com/movies/the+trip-1967/,708,21,14,3,88,,http://www.imdb.com/title/tt0062395/,no,no,no,no,no
68,,"The Last Seduction",1994,http://www.icheckmovies.com/movies/the+last+seduction/,2837,152,35,9,191,,http://www.imdb.com/title/tt0110308/,no,no,no,no,no
69,,"Ed Wood",1994,http://www.icheckmovies.com/movies/ed+wood/,26763,2189,169,8,556,,http://www.imdb.com/title/tt0109707/,"2010-01-30 15:23:27",no,no,no,no
70,,Salvador,1986,http://www.icheckmovies.com/movies/salvador/,2330,113,11,6,200,,http://www.imdb.com/title/tt0091886/,no,no,no,no,no
71,,"Per qualche dollaro in più",1965,http://www.icheckmovies.com/movies/per+qualche+dollaro+in+piu/,20879,1823,47,9,553,"For a Few Dollars More",http://www.imdb.com/title/tt0059578/,"2010-01-30 15:23:27",no,no,no,no
72,,"Le doulos",1962,http://www.icheckmovies.com/movies/le+doulos/,1947,200,9,10,236,"Le Doulos",http://www.imdb.com/title/tt0054821/,no,no,no,no,no
73,,"They Live by Night",1948,http://www.icheckmovies.com/movies/they+live+by+night/,1956,158,6,12,278,,http://www.imdb.com/title/tt0040872/,"2011-08-28 22:30:15",no,no,no,no
74,,"The Long Goodbye",1973,http://www.icheckmovies.com/movies/the+long+goodbye/,5374,584,41,12,425,,http://www.imdb.com/title/tt0070334/,"2011-09-05 23:45:24",no,no,no,no
75,,Coffy,1973,http://www.icheckmovies.com/movies/coffy/,1682,96,11,2,147,,http://www.imdb.com/title/tt0069897/,"2016-04-03 17:43:29",no,no,no,no
76,,"Magnificent Obsession",1954,http://www.icheckmovies.com/movies/magnificent+obsession/,1183,67,9,2,181,,http://www.imdb.com/title/tt0047203/,no,no,no,no,no
77,,"The Savage Seven",1968,http://www.icheckmovies.com/movies/the+savage+seven/,178,5,6,2,26,,http://www.imdb.com/title/tt0063553/,"2015-07-27 09:33:21",no,no,no,no
78,,"The Thing",1982,http://www.icheckmovies.com/movies/the+thing/,43307,4161,217,19,1091,,http://www.imdb.com/title/tt0084787/,"2010-01-30 15:23:28",no,no,no,no
79,,"Caged Heat",1974,http://www.icheckmovies.com/movies/caged+heat/,440,9,12,1,68,"Caged Females",http://www.imdb.com/title/tt0071266/,"2015-01-04 18:18:09",no,no,no,no
80,,"Silver Bullet",1985,http://www.icheckmovies.com/movies/silver+bullet/,2538,69,39,2,102,,http://www.imdb.com/title/tt0090021/,"2015-03-08 20:08:17",no,no,no,no
81,,"Kansas City Confidential",1952,http://www.icheckmovies.com/movies/kansas+city+confidential/,1035,66,3,3,138,,http://www.imdb.com/title/tt0044789/,"2010-11-02 01:35:42",no,no,no,no
