rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
61,,"Star Trek: First Contact",1996,http://www.icheckmovies.com/movies/star+trek+first+contact/,9586,434,42,2,214,,http://www.imdb.com/title/tt0117731/,"2010-01-30 15:23:28",no,no,no,no
62,,"Star Trek: Insurrection",1998,http://www.icheckmovies.com/movies/star+trek+insurrection/,3165,59,86,0,87,,http://www.imdb.com/title/tt0120844/,"2012-05-27 22:59:01",no,no,no,no
63,,"Star Trek: Nemesis",2002,http://www.icheckmovies.com/movies/star+trek+nemesis/,3589,59,99,0,87,,http://www.imdb.com/title/tt0253754/,"2012-07-30 01:20:02",no,no,no,no
64,,"Star Trek",2009,http://www.icheckmovies.com/movies/star+trek/,70948,3789,466,5,507,,http://www.imdb.com/title/tt0796366/,"2010-01-30 15:23:28",no,no,no,no
65,,"Star Wars: Episode V - The Empire Strikes Back",1980,http://www.icheckmovies.com/movies/star+wars+episode+v+-+the+empire+strikes+back/,111141,9876,449,23,1353,,http://www.imdb.com/title/tt0080684/,"2010-01-30 15:23:28",no,no,no,no
66,,"Starship Troopers",1997,http://www.icheckmovies.com/movies/starship+troopers/,29262,1647,338,8,411,,http://www.imdb.com/title/tt0120201/,"2010-05-11 13:18:05",no,no,no,no
67,,Supernova,2000,http://www.icheckmovies.com/movies/supernova/,503,5,53,0,38,,http://www.imdb.com/title/tt0134983/,no,no,no,no,no
68,,"The Thing",1982,http://www.icheckmovies.com/movies/the+thing/,43307,4161,217,19,1091,,http://www.imdb.com/title/tt0084787/,"2010-01-30 15:23:28",no,no,no,no
69,,"Things to Come",1936,http://www.icheckmovies.com/movies/things+to+come/,1754,61,27,8,227,,http://www.imdb.com/title/tt0028358/,"2014-05-10 02:42:23",no,no,no,no
70,,"This Island Earth",1955,http://www.icheckmovies.com/movies/this+island+earth/,1398,26,44,1,106,,http://www.imdb.com/title/tt0047577/,"2014-08-09 21:37:36",no,no,no,no
71,,"Total Recall",1990,http://www.icheckmovies.com/movies/total+recall/,37670,1886,163,8,498,,http://www.imdb.com/title/tt0100802/,"2012-04-01 03:57:20",no,no,no,no
72,,"2001: A Space Odyssey",1968,http://www.icheckmovies.com/movies/2001+a+space+odyssey/,67981,7899,873,42,1746,,http://www.imdb.com/title/tt0062622/,"2010-01-30 15:23:26",no,no,no,no
73,,"The War of the Worlds",1953,http://www.icheckmovies.com/movies/the+war+of+the+worlds/,5696,130,52,6,234,,http://www.imdb.com/title/tt0046534/,no,no,no,no,no
74,,"War of the Worlds",2005,http://www.icheckmovies.com/movies/war+of+the+worlds/,56280,851,1224,5,295,,http://www.imdb.com/title/tt0407304/,no,no,no,no,no
75,,"Independence Day",1996,http://www.icheckmovies.com/movies/independence+day/,75090,2055,855,8,411,,http://www.imdb.com/title/tt0116629/,"2010-01-30 15:23:27",no,no,no,no
76,,Zardoz,1974,http://www.icheckmovies.com/movies/zardoz/,2075,113,70,5,198,,http://www.imdb.com/title/tt0070948/,"2014-10-30 00:45:02",no,no,no,no
