rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
35,0,"3:10 to Yuma",2007,http://www.icheckmovies.com/movies/310+to+yuma/,22765,1230,124,1,261,,http://www.imdb.com/title/tt0381849/,"2010-01-30 15:23:26",no,no,no,no
36,0,"McCabe & Mrs. Miller",1971,http://www.icheckmovies.com/movies/mccabe+and+mrs.+miller/,5031,541,60,18,528,,http://www.imdb.com/title/tt0067411/,"2011-12-18 22:32:01",no,no,no,no
37,0,"Bad Day at Black Rock",1955,http://www.icheckmovies.com/movies/bad+day+at+black+rock/,3490,260,17,8,345,,http://www.imdb.com/title/tt0047849/,"2011-12-17 18:57:40",no,no,no,no
38,0,"Il grande silenzio",1968,http://www.icheckmovies.com/movies/il+grande+silenzio/,2213,300,16,5,276,"The Great Silence",http://www.imdb.com/title/tt0063032/,"2010-12-18 01:56:58",no,no,no,no
39,0,"The Gunfighter",1950,http://www.icheckmovies.com/movies/the+gunfighter/,1731,169,5,7,256,,http://www.imdb.com/title/tt0042531/,"2012-01-02 16:16:37",no,no,no,no
40,0,"Destry Rides Again",1939,http://www.icheckmovies.com/movies/destry+rides+again/,2335,142,15,8,261,,http://www.imdb.com/title/tt0031225/,"2011-12-24 18:35:02",no,no,no,no
41,0,"True Grit",2010,http://www.icheckmovies.com/movies/true+grit-2010/,41703,2300,221,6,497,,http://www.imdb.com/title/tt1403865/,"2011-06-15 12:26:03",no,no,no,no
42,0,"Hell or High Water",2016,http://www.icheckmovies.com/movies/hell+or+high+water/,7257,613,34,5,305,,http://www.imdb.com/title/tt2582782/,"2018-01-09 12:37:05",no,no,no,no
43,0,"El Dorado",1966,http://www.icheckmovies.com/movies/el+dorado/,2432,121,12,3,183,,http://www.imdb.com/title/tt0061619/,"2012-03-06 19:41:30",no,no,no,no
44,0,Shane,1953,http://www.icheckmovies.com/movies/shane/,7274,301,94,18,457,,http://www.imdb.com/title/tt0046303/,"2010-01-30 15:23:27",no,no,no,no
45,0,Giant,1956,http://www.icheckmovies.com/movies/giant/,5641,305,51,10,395,,http://www.imdb.com/title/tt0049261/,"2010-07-14 00:39:13",no,no,no,no
46,0,"Dead Man",1995,http://www.icheckmovies.com/movies/dead+man/,11704,1271,116,12,496,,http://www.imdb.com/title/tt0112817/,"2010-01-30 15:23:27",no,no,no,no
47,0,"Jeremiah Johnson",1972,http://www.icheckmovies.com/movies/jeremiah+johnson/,2140,142,10,2,199,,http://www.imdb.com/title/tt0068762/,"2010-01-30 15:23:27",no,no,no,no
48,0,"Little Big Man",1970,http://www.icheckmovies.com/movies/little+big+man/,4551,287,30,10,317,,http://www.imdb.com/title/tt0065988/,"2011-12-25 13:27:30",no,no,no,no
49,0,"The Shootist",1976,http://www.icheckmovies.com/movies/the+shootist/,2428,131,10,6,201,,http://www.imdb.com/title/tt0075213/,"2011-03-05 01:04:58",no,no,no,no
50,0,"Giù la testa",1971,http://www.icheckmovies.com/movies/giu+la+testa/,3019,269,22,4,213,"Duck, You Sucker",http://www.imdb.com/title/tt0067140/,"2010-01-30 20:00:09",no,no,no,no
