rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
32,0,Seppuku,1962,http://www.icheckmovies.com/movies/seppuku/,5308,1304,23,15,556,Harakiri,http://www.imdb.com/title/tt0056058/,"2010-01-30 15:23:27",no,no,no,no
33,0,"The Usual Suspects",1995,http://www.icheckmovies.com/movies/the+usual+suspects/,72596,7570,316,21,981,,http://www.imdb.com/title/tt0114814/,"2010-01-30 15:23:28",no,no,no,no
34,0,"The Pianist",2002,http://www.icheckmovies.com/movies/the+pianist/,67433,5482,216,20,839,,http://www.imdb.com/title/tt0253474/,"2010-01-30 15:23:28",no,no,no,no
35,0,"Back to the Future",1985,http://www.icheckmovies.com/movies/back+to+the+future/,122258,10749,282,24,1310,,http://www.imdb.com/title/tt0088763/,"2010-01-30 15:23:26",no,no,no,no
36,0,"Terminator 2: Judgment Day",1991,http://www.icheckmovies.com/movies/terminator+2+judgment+day/,91124,6494,320,23,1092,,http://www.imdb.com/title/tt0103064/,"2010-01-30 15:23:28",no,no,no,no
37,0,"Modern Times",1936,http://www.icheckmovies.com/movies/modern+times/,29219,2624,81,30,916,,http://www.imdb.com/title/tt0027977/,"2010-01-30 15:23:27",no,no,no,no
38,0,Psycho,1960,http://www.icheckmovies.com/movies/psycho/,70924,6410,137,38,1683,,http://www.imdb.com/title/tt0054215/,"2010-01-30 15:23:27",no,no,no,no
39,0,"The Lion King",1994,http://www.icheckmovies.com/movies/the+lion+king/,136833,8904,305,24,988,,http://www.imdb.com/title/tt0110357/,"2010-01-30 15:23:28",no,no,no,no
40,0,"American History X",1998,http://www.icheckmovies.com/movies/american+history+x/,82223,7790,270,10,703,,http://www.imdb.com/title/tt0120586/,"2010-01-30 15:23:26",no,no,no,no
41,0,"City Lights",1931,http://www.icheckmovies.com/movies/city+lights/,20662,2425,74,33,955,,http://www.imdb.com/title/tt0021749/,"2010-01-30 15:23:27",no,no,no,no
42,0,Gladiator,2000,http://www.icheckmovies.com/movies/gladiator/,109953,7556,725,25,961,,http://www.imdb.com/title/tt0172495/,"2010-01-30 15:23:27",no,no,no,no
43,0,Whiplash,2014,http://www.icheckmovies.com/movies/whiplash-2014/,28526,4109,151,11,802,,http://www.imdb.com/title/tt2582802/,"2015-02-15 21:19:14",no,no,no,no
44,0,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,24507,3185,151,18,790,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2010-01-30 15:23:27",no,no,no,no
45,0,"The Departed",2006,http://www.icheckmovies.com/movies/the+departed/,88889,8187,425,19,992,,http://www.imdb.com/title/tt0407887/,"2010-01-30 15:23:28",no,no,no,no
46,0,Intouchables,2011,http://www.icheckmovies.com/movies/intouchables/,33434,4140,169,7,597,"The Intouchables",http://www.imdb.com/title/tt1675434/,"2013-09-03 04:27:19",no,no,no,no
47,0,"The Prestige",2006,http://www.icheckmovies.com/movies/the+prestige/,88110,8964,406,13,871,,http://www.imdb.com/title/tt0482571/,"2010-01-30 15:23:28",no,no,no,no
