rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
312,-194,"Dawn of the Dead",1978,http://www.icheckmovies.com/movies/dawn+of+the+dead/,29300,1636,153,14,708,,http://www.imdb.com/title/tt0077402/,"2011-11-05 02:40:51",no,no,no,no
313,-187,"Dead of Night",1945,http://www.icheckmovies.com/movies/dead+of+night/,2403,190,23,8,319,,http://www.imdb.com/title/tt0037635/,no,no,no,no,no
314,-182,"Dellamorte Dellamore",1994,http://www.icheckmovies.com/movies/dellamorte+dellamore/,2398,250,30,5,233,"Cemetery Man",http://www.imdb.com/title/tt0109592/,no,no,no,no,no
315,-173,"Dog Soldiers",2002,http://www.icheckmovies.com/movies/dog+soldiers/,5527,207,79,2,162,,http://www.imdb.com/title/tt0280609/,no,no,no,no,no
316,-165,"The Driller Killer",1979,http://www.icheckmovies.com/movies/the+driller+killer/,964,30,48,2,112,,http://www.imdb.com/title/tt0079082/,no,no,no,no,no
317,-149,"Faces of Death",1978,http://www.icheckmovies.com/movies/faces+of+death/,1143,8,56,2,77,,http://www.imdb.com/title/tt0077533/,no,no,no,no,no
318,-141,"Fiend Without a Face",1958,http://www.icheckmovies.com/movies/fiend+without+a+face/,918,19,17,5,110,,http://www.imdb.com/title/tt0050393/,no,no,no,no,no
319,-134,Freaks,1932,http://www.icheckmovies.com/movies/freaks/,11458,1114,55,16,646,,http://www.imdb.com/title/tt0022913/,no,no,no,no,no
320,-131,"From Dusk Till Dawn",1996,http://www.icheckmovies.com/movies/from+dusk+till+dawn/,26505,1480,241,2,387,,http://www.imdb.com/title/tt0116367/,"2013-10-15 03:33:26",no,no,no,no
321,-129,"The Fury",1978,http://www.icheckmovies.com/movies/the+fury/,1354,60,22,2,156,,http://www.imdb.com/title/tt0077588/,no,no,no,no,no
322,-125,"Ginger Snaps",2000,http://www.icheckmovies.com/movies/ginger+snaps/,6408,397,68,5,238,,http://www.imdb.com/title/tt0210070/,no,no,no,no,no
323,-120,Gothic,1986,http://www.icheckmovies.com/movies/gothic/,848,21,24,2,88,,http://www.imdb.com/title/tt0091142/,no,no,no,no,no
324,-103,"The Hitcher",1986,http://www.icheckmovies.com/movies/the+hitcher/,5102,243,46,2,165,,http://www.imdb.com/title/tt0091209/,no,no,no,no,no
325,-100,"The Hunger",1983,http://www.icheckmovies.com/movies/the+hunger/,2500,166,37,2,227,,http://www.imdb.com/title/tt0085701/,no,no,no,no,no
326,-99,"I Bury the Living",1958,http://www.icheckmovies.com/movies/i+bury+the+living/,533,25,8,2,84,,http://www.imdb.com/title/tt0051755/,no,no,no,no,no
327,-99,"I lunghi capelli della morte",1965,http://www.icheckmovies.com/movies/i+lunghi+capelli+della+morte/,182,6,3,1,45,"The Long Hair of Death",http://www.imdb.com/title/tt0058307/,no,no,no,no,no
328,-99,"I Walked with a Zombie",1943,http://www.icheckmovies.com/movies/i+walked+with+a+zombie/,3008,201,16,8,341,,http://www.imdb.com/title/tt0036027/,no,no,no,no,no
329,-91,"The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?",1964,http://www.icheckmovies.com/movies/the+incredibly+strange+creatures+who+stopped+living+and+became+mixed-up+zombiesexclamationexclamationquestion/,454,6,57,1,63,,http://www.imdb.com/title/tt0057181/,"2021-02-20 19:44:53",no,no,no,no
330,-86,Jaws,1975,http://www.icheckmovies.com/movies/jaws/,87942,3882,403,26,1298,,http://www.imdb.com/title/tt0073195/,"2010-01-30 15:23:27",no,no,no,no
