rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
36,,"The Driver",1978,http://www.icheckmovies.com/movies/the+driver/,1913,140,10,6,207,,http://www.imdb.com/title/tt0077474/,"2012-07-21 17:10:26",no,no,no,no
37,,"Zui quan",1978,http://www.icheckmovies.com/movies/zui+quan/,2796,163,22,9,167,"Drunken Master",http://www.imdb.com/title/tt0080179/,"2012-01-21 05:14:01",no,no,no,no
38,,"Wu du",1978,http://www.icheckmovies.com/movies/wu+du/,1087,45,13,3,111,"Five Deadly Venoms",http://www.imdb.com/title/tt0077559/,"2014-11-09 20:24:10",no,no,no,no
39,,Superman,1978,http://www.icheckmovies.com/movies/superman/,32971,766,149,11,453,,http://www.imdb.com/title/tt0078346/,"2010-01-30 15:23:28",no,no,no,no
40,,"For Your Eyes Only",1981,http://www.icheckmovies.com/movies/for+your+eyes+only/,9182,145,76,2,145,,http://www.imdb.com/title/tt0082398/,"2011-12-31 17:59:53",no,no,no,no
41,,Knightriders,1981,http://www.icheckmovies.com/movies/knightriders/,444,20,12,1,61,,http://www.imdb.com/title/tt0082622/,"2014-10-27 03:01:48",no,no,no,no
42,,"Raiders of the Lost Ark",1981,http://www.icheckmovies.com/movies/raiders+of+the+lost+ark/,91990,6842,257,28,1231,,http://www.imdb.com/title/tt0082971/,"2010-01-30 15:23:27",no,no,no,no
43,,"48 Hrs.",1982,http://www.icheckmovies.com/movies/48+hrs./,4149,111,31,3,119,,http://www.imdb.com/title/tt0083511/,"2019-02-18 04:29:18",no,no,no,no
44,,"First Blood",1982,http://www.icheckmovies.com/movies/first+blood/,15342,857,92,6,316,,http://www.imdb.com/title/tt0083944/,"2012-01-14 20:08:24",no,no,no,no
45,,"Shao Lin si",1982,http://www.icheckmovies.com/movies/shao+lin+si-1982/,851,26,1,1,49,"The Shaolin Temple",http://www.imdb.com/title/tt0079891/,"2012-07-31 23:37:18",no,no,no,no
46,,Commando,1985,http://www.icheckmovies.com/movies/commando/,8971,380,129,2,159,,http://www.imdb.com/title/tt0088944/,"2018-11-17 23:39:26",no,no,no,no
47,,"Ging chaat goo si",1985,http://www.icheckmovies.com/movies/ging+chaat+goo+si/,3806,185,11,10,193,"Police Story",http://www.imdb.com/title/tt0089374/,"2012-05-13 03:40:48",no,no,no,no
48,,"Top Gun",1986,http://www.icheckmovies.com/movies/top+gun/,46825,1030,490,8,386,,http://www.imdb.com/title/tt0092099/,"2010-03-07 19:21:00",no,no,no,no
49,,"Lethal Weapon",1987,http://www.icheckmovies.com/movies/lethal+weapon/,20629,760,88,5,309,,http://www.imdb.com/title/tt0093409/,"2010-05-01 03:38:08",no,no,no,no
50,,Bloodsport,1988,http://www.icheckmovies.com/movies/bloodsport/,7484,215,89,1,115,,http://www.imdb.com/title/tt0092675/,"2010-01-30 15:23:26",no,no,no,no
51,,"Die Hard",1988,http://www.icheckmovies.com/movies/die+hard/,88655,5672,233,19,991,,http://www.imdb.com/title/tt0095016/,"2010-01-30 15:23:27",no,no,no,no
52,,Batman,1989,http://www.icheckmovies.com/movies/batman/,68450,1951,244,10,552,,http://www.imdb.com/title/tt0096895/,"2010-01-30 15:23:26",no,no,no,no
53,,"Dip huet seung hung",1989,http://www.icheckmovies.com/movies/dip+huet+seung+hung/,5249,442,59,15,407,"The Killer",http://www.imdb.com/title/tt0097202/,"2010-01-30 15:23:27",no,no,no,no
54,,Nikita,1990,http://www.icheckmovies.com/movies/nikita/,7220,344,56,4,217,"La Femme Nikita",http://www.imdb.com/title/tt0100263/,"2010-01-30 15:23:27",no,no,no,no
55,,"The Hunt for Red October",1990,http://www.icheckmovies.com/movies/the+hunt+for+red+october/,11694,508,45,2,204,,http://www.imdb.com/title/tt0099810/,"2012-01-01 05:54:38",no,no,no,no
56,,"Point Break",1991,http://www.icheckmovies.com/movies/point+break/,13754,619,105,8,289,,http://www.imdb.com/title/tt0102685/,"2016-10-02 21:05:32",no,no,no,no
57,,"Terminator 2: Judgment Day",1991,http://www.icheckmovies.com/movies/terminator+2+judgment+day/,91124,6494,320,23,1092,,http://www.imdb.com/title/tt0103064/,"2010-01-30 15:23:28",no,no,no,no
58,,"Patriot Games",1992,http://www.icheckmovies.com/movies/patriot+games/,4239,99,45,2,84,,http://www.imdb.com/title/tt0105112/,"2012-01-14 20:24:49",no,no,no,no
59,,"Under Siege",1992,http://www.icheckmovies.com/movies/under+siege/,4873,105,75,2,95,,http://www.imdb.com/title/tt0105690/,"2012-01-14 20:54:17",no,no,no,no
