title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
The Brute Man,1946,http://www.icheckmovies.com/movies/the+brute+man/,118,2,0,27,,http://www.imdb.com/title/tt0038387/,10/23/2019 0:38,no,no,no,no
Deathstalker and the Warriors from Hell,1988,http://www.icheckmovies.com/movies/deathstalker+and+the+warriors+from+hell/,131,0,0,19,,http://www.imdb.com/title/tt0097174/,10/23/2019 0:38,no,no,no,no
Krull,1983,http://www.icheckmovies.com/movies/krull/,1525,43,2,75,,http://www.imdb.com/title/tt0085811/,9/28/2019 20:53,no,no,no,no
Space Mutiny,1988,http://www.icheckmovies.com/movies/space+mutiny/,471,8,1,54,,http://www.imdb.com/title/tt0096149/,9/28/2019 20:52,no,no,no,no
Santo vs. las mujeres vampiro,1962,http://www.icheckmovies.com/movies/santo+vs.+las+mujeres+vampiro/,117,2,0,20,Santo Versus the Vampire Women,http://www.imdb.com/title/tt0055408/,9/28/2019 20:51,no,no,no,no
Daikaijû Gamera,1965,http://www.icheckmovies.com/movies/daikaiju+gamera/,311,7,0,43,Gamera: The Giant Monster,http://www.imdb.com/title/tt0059080/,9/28/2019 20:51,no,no,no,no
Star Force: Fugitive Alien II,1987,http://www.icheckmovies.com/movies/star+force+fugitive+alien+ii/,68,0,0,4,,http://www.imdb.com/title/tt0131028/,9/28/2019 20:51,no,no,no,no
Johnny Got His Gun,1971,http://www.icheckmovies.com/movies/johnny+got+his+gun/,1774,219,4,199,,http://www.imdb.com/title/tt0067277/,9/28/2019 14:35,no,no,no,no
Angels' Brigade,1979,http://www.icheckmovies.com/movies/angels+brigade/,87,0,0,14,Angels Revenge,http://www.imdb.com/title/tt0078778/,9/15/2019 17:55,no,no,no,no
The Amazing Transparent Man,1960,http://www.icheckmovies.com/movies/the+amazing+transparent+man/,197,3,0,33,,http://www.imdb.com/title/tt0053593/,9/15/2019 17:55,no,no,no,no
Daikaijû kettô: Gamera tai Barugon,1966,http://www.icheckmovies.com/movies/daikaiju+ketto+gamera+tai+barugon/,211,5,0,35,Gamera vs. Barugon,http://www.imdb.com/title/tt0060446/,9/15/2019 17:54,no,no,no,no
Revenge of the Mysterons from Mars,1981,http://www.icheckmovies.com/movies/revenge+of+the+mysterons+from+mars/,27,0,0,2,,http://www.imdb.com/title/tt1272026/,9/15/2019 17:54,no,no,no,no
Invaders from the Deep,1981,http://www.icheckmovies.com/movies/invaders+from+the+deep/,31,0,0,3,,http://www.imdb.com/title/tt0128273/,9/13/2019 22:53,no,no,no,no
Santa and the Ice Cream Bunny,1972,http://www.icheckmovies.com/movies/santa+and+the+ice+cream+bunny/,185,3,1,22,,http://www.imdb.com/title/tt0138074/,8/27/2019 22:06,no,no,no,no
RiffTrax Live: Santa and the Ice Cream Bunny,2015,http://www.icheckmovies.com/movies/rifftrax+live+santa+and+the+ice+cream+bunny/,17,1,0,3,,http://www.imdb.com/title/tt4911794/,8/27/2019 22:05,no,no,no,no
El Cid,1961,http://www.icheckmovies.com/movies/el+cid/,838,24,1,118,,http://www.imdb.com/title/tt0054847/,8/22/2019 13:51,no,no,no,no
Truck Song,1988,http://www.icheckmovies.com/movies/truck+song/,4,0,0,2,,http://www.imdb.com/title/tt7399314/,8/16/2019 1:05,no,no,no,no
Play Safe,1978,http://www.icheckmovies.com/movies/play+safe-1978/,6,0,0,1,,http://www.imdb.com/title/tt0216086/,8/16/2019 1:05,no,no,no,no
The Baggs,1973,http://www.icheckmovies.com/movies/the+baggs/,7,0,0,1,,http://www.imdb.com/title/tt7358892/,8/16/2019 1:05,no,no,no,no
A Touch of Magic,1961,http://www.icheckmovies.com/movies/a+touch+of+magic/,6,0,0,1,,http://www.imdb.com/title/tt0332445/,8/16/2019 1:05,no,no,no,no
The Griper,1954,http://www.icheckmovies.com/movies/the+griper/,7,0,0,1,,http://www.imdb.com/title/tt0327816/,8/16/2019 1:05,no,no,no,no
Office Etiquette,1950,http://www.icheckmovies.com/movies/office+etiquette/,8,0,0,1,,http://www.imdb.com/title/tt0334037/,8/16/2019 1:05,no,no,no,no
Rhythmic Ball Skills for Perceptual-Motor Development,1971,http://www.icheckmovies.com/movies/rhythmic+ball+skills+for+perceptual-motor+development/,6,0,0,1,,http://www.imdb.com/title/tt7363824/,8/16/2019 1:05,no,no,no,no
Ricky Raccoon Shows the Way,1978,http://www.icheckmovies.com/movies/ricky+raccoon+shows+the+way/,6,0,0,1,,http://www.imdb.com/title/tt7358570/,8/16/2019 1:05,no,no,no,no
On Guard - Bunco!,1974,http://www.icheckmovies.com/movies/on+guard+-+buncoexclamation/,5,0,0,2,,http://www.imdb.com/title/tt7260474/,8/16/2019 1:04,no,no,no,no
The Rookie Fireman,1936,http://www.icheckmovies.com/movies/the+rookie+fireman/,7,0,0,1,,http://www.imdb.com/title/tt0363300/,8/16/2019 1:04,no,no,no,no
RiffTrax Live: Night of the Shorts IV - SF Sketchfest 2016,2016,http://www.icheckmovies.com/movies/rifftrax+live+night+of+the+shorts+iv+-+sf+sketchfest+2016/,4,0,0,2,,http://www.imdb.com/title/tt6740544/,8/16/2019 1:04,no,no,no,no
Phoebe,1964,http://www.icheckmovies.com/movies/phoebe-1964/,3,0,0,3,,http://www.imdb.com/title/tt0223924/,8/16/2019 1:04,no,no,no,no
The Tale of Custard the Dragon,1965,http://www.icheckmovies.com/movies/the+tale+of+custard+the+dragon/,4,0,0,2,,http://www.imdb.com/title/tt6523928/,8/16/2019 1:03,no,no,no,no
Santa Claus Story,1945,http://www.icheckmovies.com/movies/santa+claus+story/,9,0,0,2,,http://www.imdb.com/title/tt2586136/,8/16/2019 1:03,no,no,no,no
The Little Lamb: A Christmas Story,1955,http://www.icheckmovies.com/movies/the+little+lamb+a+christmas+story/,3,0,0,2,,http://www.imdb.com/title/tt1727546/,8/16/2019 1:02,no,no,no,no
The Halloween That Almost Wasn't,1979,http://www.icheckmovies.com/movies/the+halloween+that+almost+wasnt/,22,0,0,6,,http://www.imdb.com/title/tt0316318/,8/16/2019 1:02,no,no,no,no
"NBC Special Treat: Oh, Boy! Babies!",1982,http://www.icheckmovies.com/movies/nbc+special+treat+oh+boyexclamation+babiesexclamation/,4,0,0,2,,http://www.imdb.com/title/tt1078914/,8/16/2019 1:02,no,no,no,no
"RiffTrax Live: Night of the Shorts, A Good Day to Riff Hard - SF Sketchfest 2015",2015,http://www.icheckmovies.com/movies/rifftrax+live+night+of+the+shorts+a+good+day+to+riff+hard+-+sf+sketchfest+2015/,4,0,0,2,,http://www.imdb.com/title/tt6745170/,8/16/2019 1:02,no,no,no,no
Zlateh the Goat,1966,http://www.icheckmovies.com/movies/zlateh+the+goat/,4,0,0,2,,http://www.imdb.com/title/tt1352457/,8/16/2019 1:01,no,no,no,no
The Frustrating Fours and the Fascinating Fives,1953,http://www.icheckmovies.com/movies/the+frustrating+fours+and+the+fascinating+fives/,4,0,0,3,,http://www.imdb.com/title/tt0282505/,8/16/2019 1:01,no,no,no,no
At Your Fingertips: Sugar and Spice,1970,http://www.icheckmovies.com/movies/at+your+fingertips+sugar+and+spice/,8,0,0,2,,http://www.imdb.com/title/tt5871110/,8/16/2019 1:01,no,no,no,no
Clean and Neat with Harv and Marv,1975,http://www.icheckmovies.com/movies/clean+and+neat+with+harv+and+marv/,3,0,0,2,,http://www.imdb.com/title/tt5870236/,8/16/2019 1:01,no,no,no,no
Fashion Horizons,1940,http://www.icheckmovies.com/movies/fashion+horizons/,7,0,0,2,,http://www.imdb.com/title/tt0414975/,8/16/2019 1:00,no,no,no,no
At Your Fingertips: Cylinders,1970,http://www.icheckmovies.com/movies/at+your+fingertips+cylinders/,13,0,0,2,,http://www.imdb.com/title/tt3760670/,8/16/2019 1:00,no,no,no,no
Norman Checks In,1984,http://www.icheckmovies.com/movies/norman+checks+in/,13,0,0,2,,http://www.imdb.com/title/tt3496146/,8/16/2019 1:00,no,no,no,no
"Welcome Back, Norman",1979,http://www.icheckmovies.com/movies/welcome+back+norman/,13,0,0,2,,http://www.imdb.com/title/tt2343840/,8/16/2019 1:00,no,no,no,no
Setting Up a Room,1967,http://www.icheckmovies.com/movies/setting+up+a+room/,9,0,0,2,,http://www.imdb.com/title/tt3496768/,8/16/2019 0:59,no,no,no,no
What Is Nothing?,1973,http://www.icheckmovies.com/movies/what+is+nothingquestion/,12,0,0,3,,http://www.imdb.com/title/tt2192158/,8/16/2019 0:58,no,no,no,no
At Your Fingertips: Grasses,1970,http://www.icheckmovies.com/movies/at+your+fingertips+grasses/,13,0,0,2,,http://www.imdb.com/title/tt2246571/,8/16/2019 0:58,no,no,no,no
Frozen Frolics,1930,http://www.icheckmovies.com/movies/frozen+frolics/,19,0,0,4,,http://www.imdb.com/title/tt0020907/,8/16/2019 0:58,no,no,no,no
Paper and I,1960,http://www.icheckmovies.com/movies/paper+and+i/,14,0,0,1,,http://www.imdb.com/title/tt2241415/,8/16/2019 0:58,no,no,no,no
Tooth Truth with Harv and Marv,1990,http://www.icheckmovies.com/movies/tooth+truth+with+harv+and+marv/,6,0,0,2,,http://www.imdb.com/title/tt3495330/,8/16/2019 0:58,no,no,no,no
Magical Disappearing Money,1972,http://www.icheckmovies.com/movies/magical+disappearing+money/,11,0,0,3,,http://www.imdb.com/title/tt2191747/,8/16/2019 0:57,no,no,no,no
More Dangerous Than Dynamite,1941,http://www.icheckmovies.com/movies/more+dangerous+than+dynamite/,22,0,0,3,,http://www.imdb.com/title/tt1570637/,8/16/2019 0:57,no,no,no,no
Parade of Aquatic Champions,1945,http://www.icheckmovies.com/movies/parade+of+aquatic+champions/,10,0,0,1,,http://www.imdb.com/title/tt2609952/,8/16/2019 0:56,no,no,no,no
The Night Before Christmas,1946,http://www.icheckmovies.com/movies/the+night+before+christmas-1946/,24,0,0,3,,http://www.imdb.com/title/tt1779795/,8/16/2019 0:56,no,no,no,no
Three Magic Words,1939,http://www.icheckmovies.com/movies/three+magic+words/,14,0,0,2,,http://www.imdb.com/title/tt2222512/,8/16/2019 0:56,no,no,no,no
Vánocní sen,1946,http://www.icheckmovies.com/movies/vanocni+sen/,66,3,0,8,A Christmas Dream,http://www.imdb.com/title/tt0039088/,8/16/2019 0:56,no,no,no,no
Rudolph the Red-Nosed Reindeer,1948,http://www.icheckmovies.com/movies/rudolph+the+red-nosed+reindeer-1948-1/,157,3,0,5,,http://www.imdb.com/title/tt0156031/,8/16/2019 0:56,no,no,no,no
Christmas Rhapsody,1948,http://www.icheckmovies.com/movies/christmas+rhapsody/,22,0,0,1,,http://www.imdb.com/title/tt1982643/,8/16/2019 0:56,no,no,no,no
RiffTrax Live: Christmas Shorts-stravaganza!,2009,http://www.icheckmovies.com/movies/rifftrax+live+christmas+shorts-stravaganzaexclamation/,22,2,0,1,,http://www.imdb.com/title/tt2145851/,8/16/2019 0:55,no,no,no,no
Your Chance to Live: Technological Failures,1972,http://www.icheckmovies.com/movies/your+chance+to+live+technological+failures/,8,0,0,2,,http://www.imdb.com/title/tt2274988/,8/16/2019 0:55,no,no,no,no
Christmas Toyshop,1945,http://www.icheckmovies.com/movies/christmas+toyshop/,17,0,0,2,,http://www.imdb.com/title/tt2137812/,8/16/2019 0:55,no,no,no,no
It Must Be the Neighbors,1966,http://www.icheckmovies.com/movies/it+must+be+the+neighbors/,14,0,0,2,,http://www.imdb.com/title/tt0400547/,8/16/2019 0:54,no,no,no,no
The Trouble with Women,1959,http://www.icheckmovies.com/movies/the+trouble+with+women-1959/,20,0,0,1,,http://www.imdb.com/title/tt1612596/,8/16/2019 0:54,no,no,no,no
Right or Wrong?,1951,http://www.icheckmovies.com/movies/right+or+wrongquestion/,26,0,0,3,,http://www.imdb.com/title/tt0258088/,8/16/2019 0:54,no,no,no,no
Buying Food,1950,http://www.icheckmovies.com/movies/buying+food/,9,0,0,2,,http://www.imdb.com/title/tt3479892/,8/16/2019 0:54,no,no,no,no
Each Child Is Different,1954,http://www.icheckmovies.com/movies/each+child+is+different/,7,0,0,2,,http://www.imdb.com/title/tt3495136/,8/16/2019 0:54,no,no,no,no
Skipper Learns a Lesson,1952,http://www.icheckmovies.com/movies/skipper+learns+a+lesson/,14,0,0,2,,http://www.imdb.com/title/tt0260372/,8/16/2019 0:54,no,no,no,no
Patriotism,1972,http://www.icheckmovies.com/movies/patriotism-1972/,11,0,0,2,,http://www.imdb.com/title/tt1982812/,8/16/2019 0:54,no,no,no,no
Down and Out,1971,http://www.icheckmovies.com/movies/down+and+out-1971-1/,8,0,0,2,,http://www.imdb.com/title/tt3479868/,8/16/2019 0:54,no,no,no,no
One Got Fat,1963,http://www.icheckmovies.com/movies/one+got+fat/,73,6,0,14,,http://www.imdb.com/title/tt0316351/,8/16/2019 0:54,no,no,no,no
The Self Image Film (If Mirrors Could Speak),1976,http://www.icheckmovies.com/movies/the+self+image+film+if+mirrors+could+speak/,15,0,0,2,,http://www.imdb.com/title/tt1891828/,8/16/2019 0:54,no,no,no,no
Drugs Are Like That,1969,http://www.icheckmovies.com/movies/drugs+are+like+that/,28,1,0,7,,http://www.imdb.com/title/tt0484972/,8/16/2019 0:54,no,no,no,no
Are You Popular?,1947,http://www.icheckmovies.com/movies/are+you+popularquestion/,25,0,0,4,,http://www.imdb.com/title/tt0252238/,8/16/2019 0:54,no,no,no,no
Coffee House Rendezvous,1966,http://www.icheckmovies.com/movies/coffee+house+rendezvous/,9,0,0,3,,http://www.imdb.com/title/tt1895323/,8/16/2019 0:54,no,no,no,no
Safety: Harm Hides at Home,1974,http://www.icheckmovies.com/movies/safety+harm+hides+at+home/,10,0,0,2,,http://www.imdb.com/title/tt1891898/,8/16/2019 0:54,no,no,no,no
Why Doesn't Cathy Eat Breakfast?,1972,http://www.icheckmovies.com/movies/why+doesnt+cathy+eat+breakfastquestion/,13,1,0,2,,http://www.imdb.com/title/tt1895599/,8/16/2019 0:54,no,no,no,no
The Terrible Truth,1951,http://www.icheckmovies.com/movies/the+terrible+truth/,29,0,0,5,,http://www.imdb.com/title/tt0260424/,8/16/2019 0:54,no,no,no,no
Petaluma Chicken,1932,http://www.icheckmovies.com/movies/petaluma+chicken/,8,0,0,2,,http://www.imdb.com/title/tt1895498/,8/16/2019 0:54,no,no,no,no
Beginning Responsibility: Lunchroom Manners,1959,http://www.icheckmovies.com/movies/beginning+responsibility+lunchroom+manners/,29,0,0,4,,http://www.imdb.com/title/tt0333842/,8/16/2019 0:54,no,no,no,no
Act Your Age (Emotional Maturity),1949,http://www.icheckmovies.com/movies/act+your+age+emotional+maturity/,20,0,0,3,,http://www.imdb.com/title/tt0257361/,8/16/2019 0:54,no,no,no,no
A Visit to Santa,1963,http://www.icheckmovies.com/movies/a+visit+to+santa/,40,0,0,7,,http://www.imdb.com/title/tt1895291/,8/16/2019 0:53,no,no,no,no
House on Haunted Hill,1959,http://www.icheckmovies.com/movies/house+on+haunted+hill/,4470,159,1,203,,http://www.imdb.com/title/tt0051744/,8/16/2019 0:49,no,no,no,no
Tell Your Children,1936,http://www.icheckmovies.com/movies/tell+your+children/,952,9,1,93,Reefer Madness,http://www.imdb.com/title/tt0028346/,8/16/2019 0:49,no,no,no,no
Jack the Giant Killer,1962,http://www.icheckmovies.com/movies/jack+the+giant+killer/,127,4,0,22,,http://www.imdb.com/title/tt0056112/,8/16/2019 0:48,no,no,no,no
Vice,2018,http://www.icheckmovies.com/movies/vice-2018/,3607,148,1,135,,http://www.imdb.com/title/tt6266538/,8/4/2019 17:13,no,no,no,no
Once Upon a Time... in Hollywood,2019,http://www.icheckmovies.com/movies/once+upon+a+time...+in+hollywood/,9236,823,8,354,Once Upon a Time... In Hollywood,http://www.imdb.com/title/tt7131622/,8/2/2019 21:29,no,no,no,no
"Warty, the Toad",1973,http://www.icheckmovies.com/movies/warty+the+toad/,6,0,0,2,,http://www.imdb.com/title/tt5637774/,7/19/2019 23:44,no,no,no,no
Puppets,1967,http://www.icheckmovies.com/movies/puppets-1967/,5,0,0,2,,http://www.imdb.com/title/tt5870072/,7/19/2019 23:28,no,no,no,no
Plan 9 from Outer Space,1957,http://www.icheckmovies.com/movies/plan+9+from+outer+space/,4996,163,4,260,,http://www.imdb.com/title/tt0052077/,7/18/2019 13:46,no,no,no,no
RiffTrax Live: Summer Shorts Beach Party,2017,http://www.icheckmovies.com/movies/rifftrax+live+summer+shorts+beach+party/,5,0,0,1,,http://www.imdb.com/title/tt7346310/,7/18/2019 13:43,no,no,no,no
RiffTrax Live: Night of the Shorts SF Sketchfest 2013,2013,http://www.icheckmovies.com/movies/rifftrax+live+night+of+the+shorts+sf+sketchfest+2013/,7,1,0,2,,http://www.imdb.com/title/tt3154342/,7/18/2019 13:43,no,no,no,no
RiffTrax Live: Plan 9 from Outer Space,2009,http://www.icheckmovies.com/movies/rifftrax+live+plan+9+from+outer+space/,42,2,0,3,,http://www.imdb.com/title/tt2145853/,7/18/2019 13:43,no,no,no,no
Spider-Man: Far from Home,2019,http://www.icheckmovies.com/movies/spider-man+far+from+home/,6378,255,3,150,,http://www.imdb.com/title/tt6320628/,7/15/2019 3:08,no,no,no,no
Henry V,1989,http://www.icheckmovies.com/movies/henry+v/,2327,141,2,181,,http://www.imdb.com/title/tt0097499/,7/9/2019 0:09,no,no,no,no
Glass,2019,http://www.icheckmovies.com/movies/glass-2019/,3375,119,1,102,,http://www.imdb.com/title/tt6823368/,7/6/2019 21:43,no,no,no,no
Bohemian Rhapsody,2018,http://www.icheckmovies.com/movies/bohemian+rhapsody/,8608,536,5,222,,http://www.imdb.com/title/tt1727824/,7/5/2019 19:07,no,no,no,no
Flight of the Intruder,1991,http://www.icheckmovies.com/movies/flight+of+the+intruder/,164,3,0,21,,http://www.imdb.com/title/tt0099587/,7/1/2019 0:47,no,no,no,no
Creed II,2018,http://www.icheckmovies.com/movies/creed+ii/,1944,64,1,72,,http://www.imdb.com/title/tt6343314/,6/28/2019 5:00,no,no,no,no
Diên Biên Phú,1992,http://www.icheckmovies.com/movies/dien+bien+phu/,21,2,0,14,,http://www.imdb.com/title/tt0104105/,6/19/2019 2:48,no,no,no,no
The Dead Don't Die,2019,http://www.icheckmovies.com/movies/the+dead+dont+die-2019/,1695,46,0,74,,http://www.imdb.com/title/tt8695030/,6/17/2019 2:01,no,no,no,no
The Old Man & the Gun,2018,http://www.icheckmovies.com/movies/the+old+man+and+the+gun/,1104,63,0,54,,http://www.imdb.com/title/tt2837574/,6/15/2019 1:15,no,no,no,no
Cherry 2000,1987,http://www.icheckmovies.com/movies/cherry+2000/,662,17,1,67,,http://www.imdb.com/title/tt0092746/,6/14/2019 17:13,no,no,no,no
Broken Flowers,2005,http://www.icheckmovies.com/movies/broken+flowers/,8807,585,3,198,,http://www.imdb.com/title/tt0412019/,6/13/2019 19:47,no,no,no,no
The King of Comedy,1982,http://www.icheckmovies.com/movies/the+king+of+comedy/,10850,1090,14,482,,http://www.imdb.com/title/tt0085794/,6/13/2019 17:51,no,no,no,no
Heroes: Chapter One 'Genesis',2006,http://www.icheckmovies.com/movies/heroes+chapter+one+genesis/,156,12,0,5,,http://www.imdb.com/title/tt0759572/,6/13/2019 16:43,no,no,no,no
Heroes: Chapter Two 'Don't Look Back',2006,http://www.icheckmovies.com/movies/heroes+chapter+two+dont+look+back/,144,8,0,4,,http://www.imdb.com/title/tt0849980/,6/13/2019 16:43,no,no,no,no
Stranger Things: Chapter One: The Vanishing of Will Byers,2016,http://www.icheckmovies.com/movies/stranger+things+chapter+one+the+vanishing+of+will+byers/,316,10,0,5,,http://www.imdb.com/title/tt4593118/,6/13/2019 16:41,no,no,no,no
Doctor Who: The Five Doctors,1983,http://www.icheckmovies.com/movies/doctor+who+the+five+doctors/,67,4,0,3,,http://www.imdb.com/title/tt0123044/,6/13/2019 16:40,no,no,no,no
The X Files,1998,http://www.icheckmovies.com/movies/the+x+files-1998/,5005,153,2,105,,http://www.imdb.com/title/tt0120902/,6/13/2019 16:38,no,no,no,no
Lupin the IIIrd: Jigen Daisuke no Bohyo,2014,http://www.icheckmovies.com/movies/lupin+the+iiird+jigen+daisuke+no+bohyo/,38,3,0,8,Lupin the Third: The Gravestone of Daisuke Jigen,http://www.imdb.com/title/tt3830998/,6/13/2019 14:50,no,no,no,no
Rupan sansei,1971,http://www.icheckmovies.com/movies/rupan+sansei/,49,4,0,12,Lupin the 3rd,http://www.imdb.com/title/tt0159175/,6/13/2019 14:49,no,no,no,no
Rupan sansei: Part II,1977,http://www.icheckmovies.com/movies/rupan+sansei+part+ii/,20,2,0,3,Lupin the 3rd,http://www.imdb.com/title/tt0159192/,6/13/2019 14:49,no,no,no,no
Rupan sansei: Part III,1984,http://www.icheckmovies.com/movies/rupan+sansei+part+iii/,11,0,0,2,Lupin III: Part III,http://www.imdb.com/title/tt0159176/,6/13/2019 14:49,no,no,no,no
Lupin the Third: A Woman Called Fujiko Mine,2012,http://www.icheckmovies.com/movies/lupin+the+third+a+woman+called+fujiko+mine/,31,4,0,5,,http://www.imdb.com/title/tt2298919/,6/13/2019 14:49,no,no,no,no
Lupin the III: Chi no kokuin - eien no mermaid,2011,http://www.icheckmovies.com/movies/lupin+the+iii+chi+no+kokuin+-+eien+no+mermaid-2011/,22,0,0,4,Lupin the III: Blood Seal ~Eternal Mermaid~,http://www.imdb.com/title/tt1818963/,6/13/2019 14:49,no,no,no,no
Lupin III: Princess of the Breeze,2013,http://www.icheckmovies.com/movies/lupin+iii+princess+of+the+breeze/,15,0,0,4,,http://www.imdb.com/title/tt3122078/,6/13/2019 14:49,no,no,no,no
Rupan Sansei vs Meitantei Conan: The Movie,2013,http://www.icheckmovies.com/movies/rupan+sansei+vs+meitantei+conan+the+movie/,39,0,0,9,Lupin III vs. Conan,http://www.imdb.com/title/tt3335192/,6/13/2019 14:49,no,no,no,no
John Wick: Chapter 3 - Parabellum,2019,http://www.icheckmovies.com/movies/john+wick+chapter+3+-+parabellum/,4568,219,2,126,,http://www.imdb.com/title/tt6146586/,6/10/2019 13:47,no,no,no,no
Avengers: Endgame,2019,http://www.icheckmovies.com/movies/avengers+endgame/,11204,782,10,336,,http://www.imdb.com/title/tt4154796/,6/9/2019 4:55,no,no,no,no
The Beast of Yucca Flats,1961,http://www.icheckmovies.com/movies/the+beast+of+yucca+flats/,658,3,2,80,,http://www.imdb.com/title/tt0054673/,6/9/2019 4:55,no,no,no,no
Il raggio infernale,1967,http://www.icheckmovies.com/movies/il+raggio+infernale/,76,0,0,7,Danger!! Death Ray,http://www.imdb.com/title/tt0062035/,6/9/2019 4:54,no,no,no,no
Suna no onna,1964,http://www.icheckmovies.com/movies/suna+no+onna/,3904,884,20,643,Woman in the Dunes,http://www.imdb.com/title/tt0058625/,6/2/2019 17:13,no,no,no,no
eXistenZ,1999,http://www.icheckmovies.com/movies/existenz/,8790,596,2,305,,http://www.imdb.com/title/tt0120907/,5/31/2019 20:24,no,no,no,no
"What's Up, Doc?",1972,http://www.icheckmovies.com/movies/whats+up+docquestion/,3203,277,9,211,,http://www.imdb.com/title/tt0069495/,5/24/2019 20:00,no,no,no,no
Dirty Mary Crazy Larry,1974,http://www.icheckmovies.com/movies/dirty+mary+crazy+larry/,862,42,2,71,,http://www.imdb.com/title/tt0071424/,5/24/2019 15:07,no,no,no,no
Ilya Muromets,1956,http://www.icheckmovies.com/movies/ilya+muromets/,119,1,0,26,The Sword and the Dragon,http://www.imdb.com/title/tt0049358/,5/19/2019 13:25,no,no,no,no
Night Train to Mundo Fine,1966,http://www.icheckmovies.com/movies/night+train+to+mundo+fine/,143,1,0,12,Red Zone Cuba,http://www.imdb.com/title/tt0060753/,5/19/2019 13:25,no,no,no,no
High School Big Shot,1959,http://www.icheckmovies.com/movies/high+school+big+shot/,74,1,0,10,The Young Sinners,http://www.imdb.com/title/tt0052891/,5/19/2019 13:25,no,no,no,no
The Charge of the Light Brigade,1968,http://www.icheckmovies.com/movies/the+charge+of+the+light+brigade/,469,16,2,67,,http://www.imdb.com/title/tt0062790/,5/4/2019 3:56,no,no,no,no
Racket Girls,1951,http://www.icheckmovies.com/movies/racket+girls/,90,0,0,9,Blonde Pickup,http://www.imdb.com/title/tt0043954/,4/22/2019 18:21,no,no,no,no
Kitten with a Whip,1964,http://www.icheckmovies.com/movies/kitten+with+a+whip/,140,4,0,31,,http://www.imdb.com/title/tt0058267/,4/22/2019 18:20,no,no,no,no
San Francisco International Airport: San Francisco International,1970,http://www.icheckmovies.com/movies/san+francisco+international+airport+san+francisco+international/,43,0,0,4,,http://www.imdb.com/title/tt0066326/,4/22/2019 18:20,no,no,no,no
Sharpe's Gold,1995,http://www.icheckmovies.com/movies/sharpes+gold/,81,1,0,4,,http://www.imdb.com/title/tt0114417/,4/22/2019 18:20,no,no,no,no
Our Man in Havana,1959,http://www.icheckmovies.com/movies/our+man+in+havana/,437,44,0,77,,http://www.imdb.com/title/tt0054152/,4/14/2019 19:56,no,no,no,no
Dick Tracy vs. Cueball,1946,http://www.icheckmovies.com/movies/dick+tracy+vs.+cueball/,55,1,0,16,,http://www.imdb.com/title/tt0038478/,4/9/2019 18:12,no,no,no,no
Dick Tracy,1945,http://www.icheckmovies.com/movies/dick+tracy-1945/,74,2,0,20,,http://www.imdb.com/title/tt0037642/,4/9/2019 18:03,no,no,no,no
Liu lang di qiu,2019,http://www.icheckmovies.com/movies/liu+lang+di+qiu/,592,11,1,25,The Wandering Earth,http://www.imdb.com/title/tt7605074/,3/30/2019 3:30,no,no,no,no
Dressed to Kill,1946,http://www.icheckmovies.com/movies/dressed+to+kill-1946-1/,295,6,0,45,,http://www.imdb.com/title/tt0038494/,3/29/2019 18:14,no,no,no,no
Terror by Night,1946,http://www.icheckmovies.com/movies/terror+by+night/,314,9,0,65,,http://www.imdb.com/title/tt0039017/,3/28/2019 19:59,no,no,no,no
Pursuit to Algiers,1945,http://www.icheckmovies.com/movies/pursuit+to+algiers/,160,7,0,23,,http://www.imdb.com/title/tt0038008/,3/27/2019 17:52,no,no,no,no
The Woman in Green,1945,http://www.icheckmovies.com/movies/the+woman+in+green/,304,9,0,58,,http://www.imdb.com/title/tt0038259/,3/26/2019 17:56,no,no,no,no
The Lobster,2015,http://www.icheckmovies.com/movies/the+lobster/,10007,1025,5,399,,http://www.imdb.com/title/tt3464902/,3/25/2019 17:04,no,no,no,no
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,http://www.icheckmovies.com/movies/shin+seiki+evangelion+gekijo-ban+airslashmagokoro+wo+kimi+ni/,7657,631,9,215,Neon Genesis Evangelion: The End of Evangelion,http://www.imdb.com/title/tt0169858/,3/25/2019 17:03,no,no,no,no
The House of Fear,1945,http://www.icheckmovies.com/movies/the+house+of+fear/,212,10,0,40,,http://www.imdb.com/title/tt0037794/,3/25/2019 17:01,no,no,no,no
The Ballad of Buster Scruggs,2018,http://www.icheckmovies.com/movies/the+ballad+of+buster+scruggs/,4039,299,0,145,,http://www.imdb.com/title/tt6412452/,3/24/2019 19:23,no,no,no,no
Spider-Man: Into the Spider-Verse,2018,http://www.icheckmovies.com/movies/spider-man+into+the+spider-verse/,10597,1352,14,373,,http://www.imdb.com/title/tt4633694/,3/24/2019 13:47,no,no,no,no
The Pearl of Death,1944,http://www.icheckmovies.com/movies/the+pearl+of+death/,194,11,0,39,,http://www.imdb.com/title/tt0037168/,3/22/2019 17:23,no,no,no,no
Dong kai ji,1975,http://www.icheckmovies.com/movies/dong+kai+ji/,27,3,0,11,Seven Blows of the Dragon II,http://www.imdb.com/title/tt0071389/,3/22/2019 4:25,no,no,no,no
The Scarlet Claw,1944,http://www.icheckmovies.com/movies/the+scarlet+claw/,358,17,0,58,,http://www.imdb.com/title/tt0037248/,3/21/2019 17:29,no,no,no,no
