rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
88,,"Kung fu",2004,http://www.icheckmovies.com/movies/kung+fu/,11068,880,86,11,313,"Kung Fu Hustle",http://www.imdb.com/title/tt0373074/,"2011-12-11 18:15:51",no,no,no,no
89,,"Saat po long",2005,http://www.icheckmovies.com/movies/saat+po+long/,562,24,9,3,57,"Kill Zone",http://www.imdb.com/title/tt0478024/,no,no,no,no,no
90,,"Huo Yuan Jia",2006,http://www.icheckmovies.com/movies/huo+yuan+jia/,4749,252,33,3,118,Fearless,http://www.imdb.com/title/tt0446059/,"2010-01-30 15:23:27",no,no,no,no
91,,"Kung Fu Panda",2008,http://www.icheckmovies.com/movies/kung+fu+panda/,66907,1990,347,4,335,,http://www.imdb.com/title/tt0441773/,"2010-08-07 17:35:05",no,no,no,no
92,,"Yip Man",2008,http://www.icheckmovies.com/movies/yip+man/,14925,1241,77,4,293,"Ip Man",http://www.imdb.com/title/tt1220719/,"2011-12-10 00:39:24",no,no,no,no
93,,"Chi bi",2008,http://www.icheckmovies.com/movies/chi+bi/,1979,144,13,1,111,,http://www.imdb.com/title/tt0425637/,"2017-06-03 16:46:08",no,no,no,no
94,,"Chi bi: Jue zhan tian xia",2009,http://www.icheckmovies.com/movies/chi+bi+jue+zhan+tian+xia/,1050,88,5,1,63,"Red Cliff II",http://www.imdb.com/title/tt1326972/,"2017-07-01 03:45:20",no,no,no,no
95,,"Shi yue wei cheng",2009,http://www.icheckmovies.com/movies/shi+yue+wei+cheng/,293,9,3,1,38,"Bodyguards and Assassins",http://www.imdb.com/title/tt1403130/,no,no,no,no,no
96,,"Su Qi-er",2010,http://www.icheckmovies.com/movies/su+qi-er/,328,22,4,0,31,"True Legend",http://www.imdb.com/title/tt1425257/,no,no,no,no,no
97,,"Jian yu",2010,http://www.icheckmovies.com/movies/jian+yu/,301,15,3,1,40,"Reign of Assassins",http://www.imdb.com/title/tt1460743/,no,no,no,no,no
98,,"Xin Shao Lin si",2011,http://www.icheckmovies.com/movies/xin+shao+lin+si/,555,32,8,0,27,Shaolin,http://www.imdb.com/title/tt1533749/,no,no,no,no,no
